epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.38741,0.60225,0.8125,1,0.55771,0.00045009,0.00045009,0.00045009
2,9.17602,0.38802,0.83036,1,0.42695,0.000886594,0.000886594,0.000886594
3,14.0734,0.30481,0.83929,1,0.66266,0.00129229,0.00129229,0.00129229
4,18.748,0.28066,0.82143,1,0.6411,0.00150197,0.00150197,0.00150197
5,23.3306,0.20975,0.83929,1,0.78611,0.00144696,0.00144696,0.00144696
6,27.9117,0.22437,0.79464,1,0.59938,0.00139195,0.00139195,0.00139195
7,32.6802,0.20701,0.83929,1,0.69695,0.00133693,0.00133693,0.00133693
8,37.2138,0.20026,0.85714,1,0.57644,0.00128192,0.00128192,0.00128192
9,41.9166,0.17139,0.84821,1,0.57622,0.00122691,0.00122691,0.00122691
10,46.5329,0.18278,0.8125,1,0.62667,0.0011719,0.0011719,0.0011719
11,51.2855,0.16097,0.84821,1,0.80235,0.00111689,0.00111689,0.00111689
12,55.7727,0.20922,0.83929,1,0.91693,0.00106188,0.00106188,0.00106188
13,60.5733,0.15316,0.85714,1,0.50003,0.00100687,0.00100687,0.00100687
14,65.2857,0.14811,0.83929,1,0.8227,0.000951857,0.000951857,0.000951857
15,69.7467,0.13932,0.86607,1,0.87623,0.000896846,0.000896846,0.000896846
16,74.5395,0.11086,0.875,1,0.73957,0.000841835,0.000841835,0.000841835
17,79.08,0.10941,0.85714,1,0.84386,0.000786824,0.000786824,0.000786824
18,83.8991,0.09839,0.84821,1,0.7472,0.000731813,0.000731813,0.000731813
19,88.485,0.13692,0.85714,1,0.98558,0.000676802,0.000676802,0.000676802
20,93.0877,0.07308,0.83929,1,0.78771,0.000621791,0.000621791,0.000621791
21,97.8921,0.0889,0.83036,1,0.75954,0.00056678,0.00056678,0.00056678
22,102.605,0.07071,0.82143,1,0.77952,0.000511769,0.000511769,0.000511769
23,107.4,0.08335,0.83929,1,0.89619,0.000456758,0.000456758,0.000456758
24,112.046,0.06532,0.83929,1,0.76357,0.000401747,0.000401747,0.000401747
25,116.974,0.06417,0.83929,1,0.78822,0.000346736,0.000346736,0.000346736
26,121.5,0.06325,0.83036,1,0.72548,0.000291725,0.000291725,0.000291725
27,126.012,0.05563,0.83036,1,0.89571,0.000236714,0.000236714,0.000236714
28,130.704,0.03993,0.83929,1,0.8986,0.000181703,0.000181703,0.000181703
29,135.231,0.06434,0.84821,1,0.87458,0.000126692,0.000126692,0.000126692
30,140.045,0.05841,0.83036,1,0.80303,7.1681e-05,7.1681e-05,7.1681e-05
