epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.78876,1.53388,0.64286,1,1.09618,0.00029997,0.00029997,0.00029997
2,7.62405,1.0811,0.73214,1,0.69227,0.000590885,0.000590885,0.000590885
3,11.3752,0.85678,0.80357,1,0.51401,0.000861269,0.000861269,0.000861269
4,15.15,0.64999,0.82143,1,0.4901,0.00100101,0.00100101,0.00100101
5,18.8819,0.52715,0.83929,1,0.45203,0.000964348,0.000964348,0.000964348
6,22.6016,0.45741,0.79464,1,0.52169,0.000927685,0.000927685,0.000927685
7,26.3309,0.44593,0.83929,1,0.55463,0.000891022,0.000891022,0.000891022
8,29.7936,0.49134,0.80357,1,0.56542,0.000854359,0.000854359,0.000854359
9,33.4453,0.40834,0.84821,1,0.44763,0.000817696,0.000817696,0.000817696
10,37.0477,0.38093,0.83929,1,0.54363,0.000781033,0.000781033,0.000781033
11,40.6244,0.35,0.82143,1,0.53418,0.00074437,0.00074437,0.00074437
12,44.1015,0.32823,0.85714,1,0.5159,0.000707707,0.000707707,0.000707707
13,47.5743,0.33759,0.85714,1,0.52596,0.000671044,0.000671044,0.000671044
14,51.1945,0.28925,0.84821,1,0.5478,0.000634381,0.000634381,0.000634381
15,54.7875,0.27441,0.86607,1,0.61866,0.000597718,0.000597718,0.000597718
16,58.4773,0.30045,0.83036,1,0.51311,0.000561055,0.000561055,0.000561055
17,62.0561,0.2678,0.8125,1,0.57558,0.000524392,0.000524392,0.000524392
18,65.5387,0.23593,0.83036,1,0.51125,0.000487729,0.000487729,0.000487729
19,69.2576,0.2018,0.8125,1,0.548,0.000451066,0.000451066,0.000451066
20,72.9209,0.19701,0.83929,1,0.56304,0.000414403,0.000414403,0.000414403
21,76.5013,0.20013,0.82143,1,0.53553,0.00037774,0.00037774,0.00037774
22,80.0153,0.19758,0.79464,1,0.49728,0.000341077,0.000341077,0.000341077
23,83.6809,0.18486,0.80357,1,0.50077,0.000304414,0.000304414,0.000304414
24,87.3528,0.17588,0.83929,1,0.48959,0.000267751,0.000267751,0.000267751
25,90.9342,0.17562,0.83929,1,0.53955,0.000231088,0.000231088,0.000231088
26,94.5921,0.16119,0.83036,1,0.57756,0.000194425,0.000194425,0.000194425
27,98.1464,0.19178,0.83929,1,0.56829,0.000157762,0.000157762,0.000157762
28,101.747,0.15069,0.82143,1,0.5356,0.000121099,0.000121099,0.000121099
29,105.255,0.17056,0.83036,1,0.64294,8.4436e-05,8.4436e-05,8.4436e-05
30,108.746,0.16082,0.8125,1,0.6071,4.7773e-05,4.7773e-05,4.7773e-05
