epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.81807,0.5491,0.81295,1,0.6034,0.00043342,0.00043342,0.00043342
2,9.33521,0.41089,0.82734,1,0.5092,0.000796043,0.000796043,0.000796043
3,13.7262,0.31762,0.83453,1,0.50899,0.00106955,0.00106955,0.00106955
4,17.9516,0.2915,0.84892,1,0.44344,0.0011719,0.0011719,0.0011719
5,22.3453,0.29667,0.83453,1,0.56566,0.00100687,0.00100687,0.00100687
6,26.724,0.21599,0.82734,1,0.70357,0.000841835,0.000841835,0.000841835
7,31.0755,0.21181,0.82734,1,0.46686,0.000676802,0.000676802,0.000676802
8,35.4172,0.23682,0.86331,1,0.44202,0.000511769,0.000511769,0.000511769
9,39.7445,0.17813,0.8705,1,0.46213,0.000346736,0.000346736,0.000346736
10,44.0864,0.1543,0.85612,1,0.55314,0.000181703,0.000181703,0.000181703
