epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.9183,1.50472,0.53061,1,1.19108,0.00031108,0.00031108,0.00031108
2,9.46803,1.04978,0.67347,1,0.89182,0.000570576,0.000570576,0.000570576
3,13.976,0.85197,0.72449,1,0.66099,0.000766279,0.000766279,0.000766279
4,18.6842,0.7173,0.78571,1,0.49231,0.000781033,0.000781033,0.000781033
5,23.2687,0.60662,0.83673,1,0.41907,0.000671044,0.000671044,0.000671044
6,27.9097,0.56477,0.83673,1,0.35833,0.000561055,0.000561055,0.000561055
7,32.6149,0.50654,0.82653,1,0.33364,0.000451066,0.000451066,0.000451066
8,37.242,0.48414,0.84694,1,0.44107,0.000341077,0.000341077,0.000341077
9,41.9278,0.45716,0.84694,1,0.33757,0.000231088,0.000231088,0.000231088
10,46.6727,0.46668,0.84694,1,0.41542,0.000121099,0.000121099,0.000121099
